Date,Open,High,Low,Close,Volume,Adj Close
1/4/16,50.75,51.189999,50.189999,51.130001,23440200,50.828735
1/5/16,51.540001,51.610001,50.41,50.860001,17444900,50.560325
1/6/16,50.099998,50.580002,49.759998,50.119999,22501800,49.824684
1/7/16,49.07,49.380001,47.5,47.560001,37902900,47.27977
1/8/16,48.73,48.740002,46.029999,46.130001,30643000,45.858196
1/11/16,46.560001,46.990002,45.93,46.849998,26284600,46.573951
1/12/16,47.5,47.5,46.27,46.880001,26310000,46.603777
1/13/16,47.32,47.349998,44.970001,45.189999,27925800,44.923732
1/14/16,45.419998,45.82,44.57,45.380001,30129500,45.112615
1/15/16,42.509998,43.689999,41.849998,42.470001,52452600,42.219761
1/19/16,42.849998,43.119999,41.66,41.939999,39032700,41.692882
1/20/16,40.52,41.029999,39.439999,40.490002,49905400,40.251428
1/21/16,40.509998,41.389999,40.029999,40.150002,34976700,39.913431
1/22/16,41.049999,41.349998,40.82,41.060001,30187200,40.818069
1/25/16,40.810001,40.959999,39.450001,39.549999,31924000,39.316964
1/26/16,39.599998,40.790001,39.5,40.5,23508400,40.261368
1/27/16,40.369999,41.689999,40.23,40.560001,28274800,40.321015
1/28/16,41.200001,41.389999,40.07,40.389999,23212800,40.201575
1/29/16,40.799999,42.59,40.779999,42.580002,36107600,42.38136
2/1/16,42.360001,42.830002,42,42.48,22860300,42.281825
2/2/16,41.860001,41.860001,40.279999,40.419998,31460900,40.231433
2/3/16,40.650002,40.709999,38.040001,40.360001,43680300,40.171716
2/4/16,40.110001,41.57,40.049999,40.790001,26732600,40.59971
2/5/16,41.02,41.439999,39.549999,39.860001,23599700,39.674048
2/8/16,39.139999,39.18,37.18,37.810001,35237100,37.633613
2/9/16,36.93,38.07,36.68,37.509998,39767200,37.335009
2/10/16,38.5,39.09,37.380001,37.41,33390000,37.235477
2/11/16,36,36.16,34.52,34.98,48945600,34.816813
2/12/16,36.029999,37.869999,35.98,37.540001,38120400,37.364872
2/16/16,38.59,39.220001,38.32,38.889999,31802500,38.708572
2/17/16,39.709999,40.290001,39.5,39.779999,29133500,39.59442
2/18/16,39.93,39.990002,38.619999,38.919998,24107700,38.738431
2/19/16,38.82,39.060001,38.060001,38.990002,22426000,38.808108
2/22/16,39.669998,39.970001,39.299999,39.52,22028600,39.335634
2/23/16,39.119999,39.189999,38.040001,38.220001,26234200,38.0417
2/24/16,37.439999,38.18,36.610001,38.09,25912400,37.912305
2/25/16,38.23,38.650002,38.009998,38.619999,19889500,38.439831
2/26/16,39.060001,40.02,38.759998,39.5,23757400,39.315727
2/29/16,39.43,39.799999,38.849998,38.849998,22268700,38.668758
3/1/16,39.150002,41.290001,39.099998,41.27,30606800,41.07747
3/2/16,41.240002,42.25,41.09,42.220001,28383800,42.023039
3/3/16,42.139999,42.869999,41.889999,42.830002,21835200,42.630194
3/4/16,43.07,43.59,42.470001,42.830002,28071000,42.630194
3/7/16,42.360001,42.93,42.080002,42.610001,22134600,42.411219
3/8/16,42.150002,42.310001,40.990002,41.049999,26265000,40.858495
3/9/16,41.360001,41.43,40.630001,41.150002,18573900,40.958031
3/10/16,41.610001,42.150002,40.610001,41.369999,21139800,41.177002
3/11/16,42.27,43.009998,41.759998,42.990002,21068500,42.789447
3/14/16,42.66,42.91,42.209999,42.669998,15332700,42.470937
3/15/16,42.259998,42.619999,41.970001,42.59,13784700,42.391312
3/16/16,42.130001,43.049999,41.5,42.23,22981000,42.032991
3/17/16,41.990002,42.93,41.380001,42.849998,24262800,42.650097
3/18/16,43.43,43.970001,43.25,43.540001,30801900,43.336881
3/21/16,43.43,44.259998,43.25,43.599998,16226400,43.396599
3/22/16,43.27,43.630001,42.91,43.380001,14885100,43.177627
3/23/16,43.279999,43.5,42.279999,42.369999,23989200,42.172337
3/24/16,41.779999,41.939999,41.029999,41.939999,22723400,41.744343
3/28/16,42.099998,42.18,41.68,41.919998,13062400,41.724436
3/29/16,41.779999,41.779999,41.139999,41.720001,18160100,41.525372
3/30/16,41.98,42.59,41.849998,41.880001,14763200,41.684625
3/31/16,41.830002,42.34,41.59,41.75,15661700,41.555231
4/1/16,41.52,42.599998,41.299999,42.470001,17749500,42.271873
4/4/16,42.360001,42.700001,41.98,42.060001,14376300,41.863786
4/5/16,41.450001,41.900002,41.119999,41.509998,17867800,41.316349
4/6/16,41.529999,41.889999,41.189999,41.860001,16169900,41.664718
4/7/16,41.299999,41.48,39.950001,40.27,22618000,40.082135
4/8/16,40.860001,41.279999,40.369999,40.470001,14676100,40.281203
4/11/16,40.740002,41.509998,40.709999,41.119999,21083700,40.928169
4/12/16,41.279999,41.959999,41.119999,41.900002,19888700,41.704532
4/13/16,42.549999,44.490002,42.549999,44.25,33135400,44.043568
4/14/16,44.139999,45.290001,44.02,44.98,26885100,44.770162
4/15/16,46.450001,46.560001,44.599998,44.919998,39168600,44.71044
4/18/16,44.419998,45.25,44.209999,45.110001,22929900,44.899556
4/19/16,45.419998,45.93,45.23,45.630001,18833300,45.417131
4/20/16,45.740002,46.75,45.73,46.740002,21645700,46.521953
4/21/16,46.790001,46.950001,46.23,46.599998,21538600,46.382603
4/22/16,46.689999,47.349998,46.619999,46.970001,17425900,46.75088
4/25/16,46.630001,46.93,46.139999,46.689999,13480500,46.472183
4/26/16,46.709999,47.16,46.419998,47.099998,15573600,46.880271
4/27/16,46.889999,47.84,46.790001,47.330002,19444700,47.109201
4/28/16,46.790001,47.529999,46.549999,46.73,18399500,46.561184
4/29/16,46.52,46.860001,46.060001,46.279999,23922700,46.112809
5/2/16,46.540001,46.830002,45.900002,46.68,13802500,46.511365
5/3/16,45.77,45.830002,44.98,45.57,21186200,45.405375
5/4/16,44.880001,45.02,44.169998,44.66,24310500,44.498662
5/5/16,44.779999,45.080002,44.16,44.23,14912000,44.070215
5/6/16,43.810001,44.419998,43.720001,44.41,17632500,44.249565
5/9/16,44.310001,44.610001,43.650002,43.889999,14251900,43.731443
5/10/16,44.34,44.900002,44.110001,44.84,13608900,44.678012
5/11/16,44.66,45.380001,44.459999,44.470001,15997900,44.30935
5/12/16,44.84,45.169998,43.77,44,15551500,43.841047
5/13/16,43.98,44.57,43,43.110001,19433500,42.954262
5/16/16,43.110001,43.5,42.939999,43.150002,17158400,42.994119
5/17/16,43.07,43.889999,42.810001,43.700001,19943000,43.542131
5/18/16,43.75,46.139999,43.75,45.869999,37645200,45.70429
5/19/16,45.599998,46.060001,44.630001,45.060001,23036100,44.897219
5/20/16,45.419998,45.700001,44.790001,44.900002,19610200,44.737797
5/23/16,44.849998,45.18,44.57,45.110001,15050500,44.947037
5/24/16,45.450001,46.189999,45.310001,45.860001,18976500,45.694328
5/25/16,46.189999,47.599998,46.189999,46.939999,23944600,46.770424
5/26/16,47.040001,47.119999,46.07,46.110001,16956600,45.943425
5/27/16,46.240002,46.669998,46.080002,46.580002,13854500,46.411728
5/31/16,46.880001,46.900002,46.310001,46.57,21404000,46.401762
6/1/16,46.040001,46.990002,45.48,46.939999,17212500,46.770424
6/2/16,46.860001,47.060001,46.599998,46.970001,15483800,46.800318
6/3/16,45.110001,45.599998,44.25,45.389999,36961500,45.226024
6/6/16,45.389999,46.259998,45.209999,45.740002,17321400,45.574762
6/7/16,46.040001,46.099998,45.509998,45.540001,12089800,45.375484
6/8/16,45.48,45.900002,45.299999,45.560001,13147300,45.395412
6/9/16,45.18,45.209999,44.650002,45.009998,17069000,44.847396
6/10/16,44.27,44.400002,43.68,43.900002,23071100,43.741409
6/13/16,43.23,44.060001,43.150002,43.16,20612100,43.004081
6/14/16,43.040001,43.540001,41.52,41.959999,27621300,41.808415
6/15/16,42.299999,42.889999,41.970001,42.009998,21934200,41.858234
6/16/16,41.610001,42.18,41.150002,42.119999,19904800,41.967837
6/17/16,42.439999,42.939999,42.150002,42.48,25113400,42.326537
6/20/16,43.459999,44.049999,42.779999,42.799999,20244000,42.645381
6/21/16,43.169998,43.209999,42.470001,42.919998,14714900,42.764946
6/22/16,42.869999,43.43,42.639999,42.68,18087600,42.525815
6/23/16,43.509998,44.5,43.470001,44.459999,25703000,44.299384
6/24/16,40.630001,41.389999,40.259998,40.299999,71849800,40.154412
6/27/16,39.580002,39.639999,38.310001,38.48,53380200,38.340988
6/28/16,39.810001,40.630001,39.200001,40.439999,38605600,40.293906
6/29/16,41.139999,42.189999,40.900002,42.119999,34004100,41.967837
6/30/16,42.68,42.799999,41.68,42.389999,34485400,42.236862
7/1/16,42.299999,42.689999,41.970001,42.169998,19399600,42.017656
7/5/16,41.380001,41.5,40.419998,40.779999,25571100,40.632678
7/6/16,40.150002,41.080002,40.029999,41.060001,27713900,40.911669
